z,ra,dec
0.016445,144.14736,1.1166195
0.016449,193.56825,-2.0345676
0.016462,328.46117,-0.88240198
0.016467,139.37082,-0.62057324
0.01647,161.34483,1.1244331
0.016563,21.812353,-0.57747706
0.016614,148.84656,0.87886816
0.01666,140.14319,1.5511205
0.016749,202.4862,-0.61371148
0.016785,140.80567,2.6013389
0.016803,195.23463,-2.9221316
0.016819,139.17576,0.20558012
0.016822,43.966025,1.2194168
0.016909,140.9432,2.7529597
0.01691,139.33882,-0.45419223
0.016972,5.1074239,0.82635002
0.017015,352.84695,-0.03076954
0.017063,162.90644,2.095039
0.017066,166.41473,-0.40002513
0.017083,196.87879,2.3270636
0.0171,352.64269,0.13565024
0.017136,172.73647,2.287064
0.017192,23.902726,0.01491793
0.017232,17.009105,-0.07531059
0.017241,181.04058,1.8259765
0.017255,24.000636,0.66353528
0.017256,141.35235,2.0637229
0.017269,165.6387,-0.29101036
0.017281,201.6686,-0.62215249
0.017351,140.78383,2.4861095
0.01736,20.854927,0.75527642
0.017374,139.46166,-0.27843943
0.017387,17.427784,-0.9536912
0.017402,141.48566,-0.08492978
0.017404,16.712485,-0.57047701
0.017406,15.91173,-0.49108924
0.017466,189.64968,1.4022846
0.017485,203.8523,1.4105577
0.01753,203.38658,1.3068427
0.017555,196.96187,-0.27866508
0.017611,21.123544,-0.36950013
0.017624,316.25165,-0.93313194
0.017661,28.693921,-0.73900217
0.01767,18.202533,-0.29018558
0.017674,14.925516,0.9166085
0.017678,158.20649,2.7771443
0.017681,16.372803,-0.34411196
0.01772,5.4408345,0.55754276
0.017749,4.9472132,0.59079485
0.017775,212.94107,1.947334
0.017786,353.07148,-0.79777281
0.017818,140.15507,0.82270888
0.017871,183.85978,-2.4333943
0.017882,173.91164,1.3575328
0.017908,5.1195075,0.54119247
0.017927,7.9302529,0.90079039
0.017956,134.0095,1.883466
0.017978,6.3933748,0.84684705
0.018006,16.063257,-1.114314
0.018039,204.31345,2.4296515
0.018057,27.127436,-0.06290174
0.018088,10.408358,0.25764364
0.018093,201.27236,-0.90310404
0.018095,17.659383,-0.27804543
0.018136,14.703573,0.58722378
0.018166,160.57676,-0.38026442
0.0182,16.639594,-0.13384644
0.01821,22.526202,0.74528234
0.018255,351.18597,1.0301147
0.018269,11.12295,1.1083743
0.018269,28.609693,-0.21187501
0.018313,179.18254,-1.3619221
0.018343,175.68714,0.28223908
0.018356,15.503939,0.51215316
0.018361,20.978372,-0.3114687
0.018376,17.384922,-0.34395595
0.018401,197.58074,2.0259656
0.018427,175.72472,0.16186048
0.018443,199.77102,-2.5152934
0.01847,161.74283,-0.69167193
0.018541,135.43833,0.52187037
0.01855,179.89806,-2.1916767
0.018555,200.34618,0.3424101
0.018557,176.6795,-0.67836515
0.018568,21.732071,-0.01474604
0.01858,351.08704,0.9966934
0.018592,172.01844,-2.012486
0.01861,195.21401,2.9245817
0.018632,316.04965,-0.66348972
0.018642,197.98248,-0.83647235
0.018715,197.90608,0.66584445
0.01875,177.40144,-1.4554916
0.018758,160.67808,-0.34817529
0.018769,159.65878,-0.34498246
0.018778,136.00283,-0.08782929
0.018834,171.47207,-0.66385753
0.018855,157.22922,-0.91500847
0.018896,170.94494,-1.0416153
0.018914,18.353494,0.22046787
0.018918,159.82604,-0.22910748
0.018933,144.16974,2.70355
0.018948,4.2865156,-0.95803251
0.018972,159.00865,0.98903904
0.018977,167.49393,0.18128136
0.018979,199.29813,-2.2010473
0.019,184.53566,-1.0641188
0.019004,180.84667,2.8345259
0.019086,18.140365,0.29339079
0.019088,136.33632,-0.03698417
0.019124,199.54195,-1.2436469
0.019135,7.7173598,0.52871514
0.019169,7.7525306,0.43571504
0.019199,179.25831,-2.481459
0.019284,20.452169,0.94318997
0.019288,169.73164,0.08984956
0.019292,178.8777,-1.2614167
0.019319,10.14622,-0.29365619
0.019323,29.797312,0.10982069
0.019328,159.60626,-0.01783727
0.019332,319.1152,-0.82649191
0.019363,16.216263,-0.64805448
0.019363,180.90392,2.6304658
0.019375,174.24003,-1.6847122
0.019384,198.05369,2.1209269
0.019394,2.3154286,0.81258425
0.0194,178.19073,-1.6494708
0.019413,196.82883,2.003485
0.019421,182.3047,1.8365679
0.019443,135.21266,1.1610896
0.019482,181.49885,1.885701
0.019483,181.6316,1.61663
0.019486,180.89332,2.1789466
0.019494,147.37478,-0.85898878
0.019497,160.99335,1.9358278
0.019503,10.112071,-0.0454237
0.019515,31.127239,0.43117186
0.01952,173.05609,0.81927396
0.019528,182.41088,0.9570506
0.019544,180.69206,-1.7924125
0.019561,320.20438,0.04668973
0.019562,21.41552,1.1780999
0.019565,319.75117,-0.96397772
0.019588,181.19669,-2.7200679
0.019653,31.200161,1.2077622
0.019672,182.01652,0.69759319
0.019689,179.59911,-2.2773758
0.019704,181.26579,2.5670749
0.019706,37.705282,-1.0153099
0.019755,166.13328,-0.73049887
0.019756,46.956189,-0.78344159
0.01976,169.33103,2.881671
0.019778,16.328245,-0.46118259
0.019789,31.749699,1.0134649
0.019794,31.325972,0.05554678
0.019817,176.88358,2.7877432
0.019835,180.88662,1.8028253
0.019837,174.25698,-0.51195405
0.019843,197.39323,1.6236906
0.019846,221.65828,-1.5252327
0.019872,177.25793,-1.1026066
0.019886,37.935518,-0.94553163
0.019976,146.22588,2.4655103
0.019981,170.9608,1.7342966
0.019982,146.0433,2.4103278
0.019995,181.12843,2.3433981
0.02,198.99421,2.9513877
0.02002,322.60782,-0.47413562
0.020029,31.196645,0.83505315
0.020042,33.507669,-0.9774611
0.020054,31.677156,-0.86047189
0.020074,182.76409,0.62408475
0.02008,146.8068,0.66563514
0.020116,33.409831,-0.71729978
0.020148,146.84222,0.74084309
0.02018,322.61335,-0.44499452
0.020212,37.413645,0.12328818
0.020248,181.21174,-2.4380161
0.020265,148.04776,1.0954415
0.020273,146.53089,0.7819304
0.020273,203.03941,-2.7492506
0.020373,38.208914,-0.35326674
0.020379,21.556911,0.35849523
0.020403,32.487525,0.8763825
0.020419,184.25791,-1.4797728
0.02042,318.30428,-0.36659825
0.02043,146.74975,2.5614228
0.020433,37.907162,-0.14024299
0.020439,183.62177,0.83009005
0.020453,181.1096,-0.63194427
0.020454,32.201391,0.80037076
0.020461,183.53328,2.082619
0.020467,182.90434,0.32250413
0.020509,51.694246,-0.64815773
0.020531,179.76725,-1.39388
0.020535,180.03409,-0.66343187
0.020541,180.59174,-1.453292
0.020544,147.83541,0.89975941
0.02055,148.44052,0.78675317
0.020553,39.794152,1.1433785
0.020559,55.263528,0.47405778
0.02056,52.695589,-0.88514836
0.020567,184.47336,-2.0891631
0.020588,200.58118,2.4207454
0.020599,184.39506,-1.6114399
0.024202,209.98343,1.9943498
0.024209,54.088975,0.18685061
0.024231,237.54501,2.4146876
0.024245,189.89152,-0.85364426
0.024254,40.48894,1.2344214
0.02426,185.9772,0.83051774
0.024271,211.63223,-2.4726768
0.024277,170.87001,-0.30762096
0.024283,42.418226,-0.79209924
0.024286,141.02703,2.082506
0.024316,209.51545,-2.2212773
0.024351,209.87657,-1.0561936
0.024351,209.57514,-0.92399796
0.024363,170.72161,-0.93118289
0.024363,312.29842,0.24042629
0.024364,49.929349,0.56547293
0.024374,212.42644,-1.2567468
0.024388,229.52305,-2.4647133
0.024388,182.07891,-1.4665596
0.024415,35.19433,0.69509531
0.024422,144.78908,0.984487
0.024426,206.19634,2.6249146
0.024429,42.416646,-0.63692868
0.024486,208.30882,0.44727438
0.024489,187.98932,-2.8663925
0.02449,170.00024,-1.1199745
0.02449,210.36673,2.2754077
0.024492,208.77881,-1.4120327
0.024499,211.21558,-0.64161296
0.024508,211.10573,-0.45677408
0.024511,216.89962,1.878594
0.02452,37.672094,1.2580488
0.024526,312.0226,0.11789822
0.024537,197.278,-1.3075244
0.024538,210.89952,-2.1317851
0.024549,42.408001,-0.81386044
0.02455,142.45574,2.1439153
0.024591,210.83777,-0.54914586
0.024592,210.51728,-1.2078541
0.024599,140.43013,2.6908607
0.024599,208.99792,-1.2617429
0.02463,312.30556,0.32553059
0.024692,211.50931,2.3563981
0.0247,235.86773,2.3290979
0.024703,208.23164,-1.9375955
0.024703,209.69607,-2.7941858
0.024709,208.15407,-1.9579337
0.02472,183.87288,2.7611357
0.024737,0.0533172,1.1201948
0.024751,209.33264,0.41236534
0.024753,210.83645,-0.54993497
0.024753,209.10103,-1.9323763
0.024757,170.00612,-0.9676444
0.024761,41.84637,0.05878597
0.02477,312.30611,0.32507553
0.024776,46.418123,-0.40190724
0.024785,35.938808,0.73195232
0.02479,147.86,1.9305378
0.024795,210.2658,-1.9689773
0.024795,348.9012,-0.45154402
0.024797,211.21925,-0.61125633
0.024807,20.807131,-0.38530228
0.024816,349.6293,-0.81372088
0.024818,213.0929,1.3652498
0.02483,212.55104,1.8183336
0.024831,210.69417,-2.2957969
0.024835,210.05528,-0.96270462
0.024837,183.87771,-0.04938538
0.024845,142.58782,2.1343659
0.024849,167.16509,0.28432082
0.024853,41.294312,0.75770568
0.024864,183.54717,-0.83159025
0.024868,211.3688,0.92699942
0.024882,183.42006,2.1877366
0.024897,213.56551,2.9511034
0.024901,35.623875,0.38265772
0.024911,142.51556,2.0174129
0.024911,46.373172,-0.38180322
0.024938,170.18533,0.3197619
0.024941,169.73413,0.17614392
0.024947,178.1816,0.97482446
0.024953,211.71692,0.0001624858
0.024958,211.1704,-0.41305687
0.02496,212.82986,1.3095136
0.024966,170.18835,-0.14822479
0.024993,206.78109,1.9128501
0.024995,211.92121,-0.71635318
0.025002,35.900857,0.22563594
0.02501,169.62964,0.96442934
0.025025,311.90467,-0.55050749
0.025025,170.20667,0.10422249
0.025028,346.72268,0.53188463
0.025034,150.98714,1.512362
0.025036,185.98722,-1.4996908
0.025049,170.21847,0.40813988
0.025052,211.38187,-1.3633121
0.025056,167.79204,0.62517505
0.02506,213.06763,-0.63311591
0.025061,214.24317,1.640423
0.025067,42.105251,-0.42817031
0.025072,211.07,-1.5062061
0.025076,212.13171,-0.12704596
0.025077,209.11255,-1.5511574
0.025079,169.68877,0.1635838
0.025082,211.75397,1.6406648
0.02509,214.72696,1.8737011
0.025093,167.09645,0.11320258
0.025098,167.14221,0.62777293
0.025099,311.82779,-0.88708166
0.025109,212.62372,1.5604375
0.025118,141.39255,-0.71393873
0.02513,147.74024,0.86319252
0.025145,211.02073,0.99817019
0.025148,174.80607,2.4872651
0.025149,30.392093,0.06784213
0.025154,46.603995,-0.55121708
0.025157,213.79426,2.2902101
0.025172,212.83455,-0.49742177
0.025187,205.53276,0.01025592
0.02519,146.61129,0.69305476
0.025194,182.27584,1.1057799
0.025207,212.24961,0.44686714
0.025208,145.80019,0.41417226
0.02521,349.17268,-1.074373
0.025211,212.85506,1.6374793
0.025214,346.3023,0.83440084
0.025215,208.14614,-1.9302613
0.025219,199.57423,2.2166193
0.025231,169.60817,0.44827303
0.025233,167.21641,2.8584234
0.025239,187.80725,1.5133257
0.02524,207.97793,1.8442785
0.025269,206.15683,-1.2646421
0.025274,184.50931,1.7951313
0.025274,171.42799,-0.32311581
0.025284,142.48737,2.1184986
0.025302,213.51298,2.9460258
0.025305,185.75458,2.4528572
0.025305,213.89211,1.814761
0.025308,210.15819,-2.906308
0.025309,215.32463,2.2957923
0.025316,147.34549,1.1453814
0.025317,170.23778,-0.08436283
0.025318,213.36154,2.4192661
0.025321,213.55001,2.3930305
0.025327,212.21232,-1.6068122
0.025332,213.02676,1.2015775
0.025334,182.53644,-2.390891
0.025362,57.114719,0.67156815
0.025364,55.552039,-0.35432686
0.02537,210.84252,-1.2077005
0.025371,170.23905,-0.09708918
0.025375,41.249615,1.055153
0.025377,172.95252,0.86325195
0.025384,213.96576,1.5863667
0.025387,209.98309,-2.7619426
0.025402,185.94439,2.9204879
0.025407,212.74039,1.0357485
0.025418,205.92553,-0.33742619
0.025438,159.93454,-0.85789059
0.025447,171.36487,-0.97044324
0.025449,142.08936,0.62936768
0.025457,139.72273,2.7942594
0.025464,212.68782,1.0463543
0.025466,214.61654,0.75009489
0.025482,213.4437,2.6195016
0.025484,213.55368,1.836921
0.025486,173.8164,1.6386976
0.025488,169.88622,0.37897786
0.025489,345.73186,0.29463175
0.02549,140.89365,1.3861915
0.0255,214.65712,2.0459528
0.025506,212.79203,1.4747226
0.025522,147.5211,1.9250959
0.025531,212.6118,-0.8323797
0.025536,57.025338,0.20884323
0.025536,47.254641,-0.98388196
0.025537,216.90808,2.981782
0.025544,214.01856,0.21626175
0.025545,147.24567,1.1385044
0.025545,213.4467,1.7497075
0.025549,214.14782,0.8866447
0.025552,131.11854,2.0639581
0.025555,217.68199,2.8256153
0.025557,58.253382,-0.31995058
0.025559,142.33811,0.77316932
0.025559,214.91607,2.1820025
0.025561,185.90622,-0.47257176
0.025563,348.03066,-1.2764309
0.025573,39.584655,0.75435661
0.025574,210.08607,-2.8660577
0.02559,212.11499,0.70025834
0.025591,215.81556,2.4013503
0.025598,174.89807,2.0476673
0.0256,138.0153,2.8758428
0.025604,174.82831,2.0895925
0.025606,211.99219,0.11387914
0.025612,210.4187,-0.39549271
0.025614,213.3995,1.7362458
0.025631,230.11132,1.6336639
0.025634,133.20973,0.15799539
0.025641,217.0189,1.0063377
0.025641,33.883172,-0.29095773
0.025643,172.24346,-0.05837887
0.027638,222.29103,-0.60880149
0.027642,220.83466,2.0898887
0.027645,327.54833,-0.66162025
0.027651,198.85779,-2.6743986
0.027657,328.36206,0.37162549
0.02766,43.193511,0.003255692
0.027661,206.89156,2.2704797
0.027679,328.59151,0.59642878
0.027686,175.34083,-0.45677684
0.027695,348.82887,-0.9893672
0.027729,168.76453,-0.46018822
0.027731,21.158719,-0.0629155
0.027747,314.30608,0.06872863
0.027756,42.405413,0.73291041
0.027764,326.52974,-1.0346709
0.027766,142.68116,2.6480997
0.027768,149.59378,1.5847258
0.027769,327.55627,0.17632003
0.027775,224.59015,2.5469269
0.027776,196.67895,2.5598767
0.02778,159.05953,-0.1590316
0.027796,48.636772,-1.0651777
0.027826,20.601371,-0.84118969
0.027832,29.759623,-0.0926348
0.027849,185.82534,1.4868693
0.027849,329.10849,-0.09048455
0.027859,29.000728,-0.36291767
0.027876,168.86149,-0.25540678
0.027876,46.53494,-0.83649009
0.027878,223.06184,1.9236596
0.027883,41.937043,0.41416922
0.027887,230.82102,-1.0481702
0.027893,206.76614,0.81116701
0.027893,30.391382,-0.83080431
0.027898,231.35281,-1.8428176
0.027899,224.5968,2.5384619
0.027924,198.61499,-2.1310027
0.027929,223.20892,0.27795862
0.02793,348.92849,-0.94939242
0.027936,230.52709,-0.87685219
0.027943,175.98673,0.52224249
0.027951,175.30473,-0.20119702
0.027952,221.03609,1.1953096
0.027975,327.66368,-0.7392411
0.027978,229.63732,0.04530664
0.027987,230.72842,-0.89535655
0.027997,197.29017,-0.19903641
0.028,158.95613,-0.23901147
0.02803,176.22102,0.93965638
0.02804,40.078888,1.0393471
0.028045,43.777492,-0.16246195
0.028047,312.58928,1.1415828
0.028048,175.63336,2.4697019
0.02805,326.47536,-0.57902865
0.028065,225.10926,0.74431734
0.028065,176.91597,-2.525508
0.028065,45.21519,0.35570556
0.028066,28.994565,-0.32779879
0.028075,353.22097,1.1993855
0.028083,222.23499,-0.72721039
0.028085,47.77214,-0.54647172
0.0281,131.551,2.410469
0.028101,149.54932,1.0297912
0.028104,218.32646,2.7014122
0.028121,230.54725,-1.4335852
0.028126,348.26639,0.14483347
0.028142,228.56261,1.2729227
0.028144,131.00307,1.6713137
0.028152,204.32724,2.7352933
0.028157,133.49453,0.35003715
0.028165,173.55727,0.30947333
0.028188,228.93035,-0.42329277
0.028196,46.532035,-1.0060054
0.028197,327.04775,-0.75055822
0.028204,131.72521,2.5014606
0.028207,134.44858,-0.15447383
0.028209,42.206833,-0.06718656
0.028232,329.23911,1.120241
0.028232,133.53548,0.49856824
0.028236,184.61361,2.4083663
0.028237,221.07654,0.04403552
0.028239,184.90951,2.0124234
0.028243,42.560683,0.09434924
0.02826,218.38167,2.4223521
0.028263,329.18942,1.1678172
0.028265,40.888301,0.54593898
0.028267,134.44717,-0.1999727
0.028268,347.97832,-0.18565375
0.028275,158.13885,0.93487095
0.028278,176.24823,0.33720986
0.02828,210.3359,0.11845398
0.028281,44.846718,-1.1666803
0.028286,41.643544,0.42894811
0.028293,47.00106,-1.0597371
0.028307,348.88273,-0.70468408
0.028308,132.11065,1.0661209
0.028312,134.43863,-0.35664174
0.028318,326.57593,-0.70763377
0.02832,233.91543,-2.278766
0.028322,160.64054,0.93960968
0.028322,36.91273,-0.38017916
0.028324,227.43251,1.3899419
0.028335,43.576647,0.82272605
0.028338,217.00814,1.2516172
0.028339,46.967121,0.99570094
0.028344,157.76982,0.10848143
0.028347,176.34197,-1.5651995
0.028347,42.915784,-0.75564585
0.028357,177.12933,-2.0446472
0.028363,173.61098,0.10170244
0.028364,175.31141,0.14290118
0.028374,168.868,0.11797149
0.028377,218.6967,2.8224982
0.028387,41.243799,-1.1708763
0.028399,46.57589,1.1952306
0.0284,230.76985,-0.51657322
0.028425,184.74002,2.2053174
0.028434,176.2103,-1.6013202
0.028442,139.20847,0.57274702
0.028447,228.61307,1.1114225
0.02845,174.88167,-0.1599014
0.02845,220.87276,0.20388891
0.028457,157.99793,0.2756811
0.028458,220.94328,0.2073527
0.028459,42.505614,0.1374085
0.028467,157.00254,2.5706282
0.028478,225.16209,1.6967425
0.028481,130.50504,2.5283736
0.028486,48.187024,0.10650131
0.028494,157.83991,0.23112179
0.028495,359.18463,0.49505117
0.028497,230.87073,-0.38684592
0.028501,224.05954,2.2194493
0.028509,228.03143,1.5230314
0.028513,230.8823,0.01674694
0.028524,29.239876,0.91141302
0.028527,232.71478,-0.65960074
0.028528,228.09742,1.6399878
0.028528,156.96182,2.6094625
0.028529,229.17927,-0.16119766
0.028534,204.72629,2.5425296
0.028537,43.566611,0.85121574
0.028538,224.84566,1.9856342
0.02854,176.60358,1.9944053
0.02854,157.37536,1.0600268
0.028545,176.35594,-1.7376542
0.028547,176.93204,1.8262165
0.028549,232.62068,-2.2714441
0.028549,46.560472,-0.34435898
0.028553,134.61916,0.02346815
0.028563,134.5234,-0.02126298
0.028572,158.36956,2.7485427
0.028574,205.54885,1.9062839
0.028578,165.90984,-0.86900692
0.028587,21.230097,0.2115656
0.028605,168.41619,0.82099082
0.028607,177.24771,-2.008812
0.028618,8.4097188,-0.81169277
0.028624,157.86636,0.22527381
0.028625,348.63348,0.46714363
0.028675,130.59562,2.4973369
0.028678,157.84528,0.25899332
0.028678,230.40774,0.46599556
0.028686,157.89649,0.47537546
0.028696,233.42049,-1.8284413
0.028697,230.87087,-1.4504504
0.028698,175.02589,-0.90140912
0.028703,168.44142,0.63793831
0.028704,175.99841,0.42799942
0.028711,147.20183,0.92040828
0.028712,131.72623,2.5600552
0.028723,230.10231,-0.22521664
0.028728,130.39307,2.1888366
0.028755,175.28149,-2.8196874
0.028757,349.08391,-0.73262968
0.028759,229.04503,1.9402399
0.028768,148.55166,0.80530386
0.028778,167.31067,-0.68736102
0.028783,184.2328,0.91973401
0.028795,47.033046,-1.2368138
0.028797,158.42439,2.7742509
0.028809,43.394032,-0.22437181
0.028815,197.79975,1.5618069
0.028828,197.86737,1.5586882
0.02883,218.5167,2.3733281
0.028832,46.346964,-0.24208039
0.028834,224.11647,2.2068737
0.028865,174.39144,-0.51557699
0.028872,213.65061,2.592908
0.028878,348.93002,0.41699056
0.028886,221.55563,0.86602155
0.028901,315.45517,0.23181312
0.028901,157.6012,0.63711293
0.02891,205.29725,1.7838262
0.028922,224.37999,1.5997015
0.028926,228.10447,1.4970485
0.028933,141.23647,-0.54402632
0.028943,197.96688,1.096841
0.028953,160.33044,-1.0639291
0.028954,42.574906,-0.35562963
0.02896,131.78174,2.6218074
0.028971,321.91684,-1.145926
0.028972,202.7945,-1.9503909
0.028973,173.51652,1.8933952
0.029037,157.84474,-1.044287
0.029042,18.838243,-1.2008206
0.029047,49.088335,0.4794994
0.029058,44.169524,-0.24558446
0.029071,218.26085,2.7167046
0.029078,174.20399,-2.2465053
0.02908,232.69376,0.27779688
0.029081,313.35767,0.28580008
0.0291,48.582264,0.80942
0.029101,43.508856,0.45933324
0.029116,46.675028,-0.66362802
0.02914,212.63504,0.22418698
0.029145,349.45244,-0.61351681
0.029162,222.53064,0.65812963
0.029169,43.945472,-0.10416021
0.029176,211.73487,-1.5947115
0.029176,235.83544,-0.08288485
0.029182,218.65202,2.9004991
0.02919,235.77163,0.04957871
0.029191,158.36106,1.840015
0.0292,48.25277,0.41758085
0.029203,169.29684,2.7795552
0.029203,174.29909,2.8058551
0.029207,169.52152,2.7416101
0.029223,159.09347,0.07746911
0.029229,131.70322,0.30351145
0.029236,211.93828,-1.6399041
0.029242,206.9767,2.82774
0.02925,173.3074,0.67405236
0.029276,313.87188,0.67271632
0.029278,42.820275,0.27243526
0.029288,158.33767,2.6161296
0.029295,224.59365,2.1276345
0.029303,314.45897,1.044451
0.029305,212.29089,-2.62628
0.029308,171.03603,-1.1577624
0.029316,187.16756,1.9074216
0.029318,173.79735,-0.03004576
0.02932,326.22788,0.25620809
0.029321,232.82189,0.12652365
0.029327,228.18166,1.4645067
0.029335,224.38124,1.5994543
0.029337,229.56429,1.4513231
0.029337,218.65537,2.8823942
0.029355,46.331349,-0.3448316
0.029365,215.1769,-0.75277102
0.029399,222.66854,2.814808
0.029401,322.50113,-0.52625456
0.029412,331.69223,-0.68814175
0.029414,210.47105,-1.105196
0.029426,217.86092,2.1586592
0.029432,0.78771778,-0.75232175
0.029434,46.279823,-0.3061463
0.029441,205.50482,1.8841298
0.029443,202.52851,-2.3375054
0.029453,227.01345,2.1769844
0.029461,216.87196,1.8517627
0.029475,221.8356,-1.3029801
0.029476,171.81439,1.5323829
0.02948,325.30988,0.02147829
0.029481,211.09621,-2.2995891
0.029483,221.6281,-1.8577657
0.029498,216.98075,-1.0081727
0.029505,34.747352,0.32991055
0.029505,35.944308,0.60159578
0.029516,227.18617,2.5088729
0.029519,217.92991,-2.2135634
0.02952,185.16542,-0.02582653
0.029521,331.80762,-0.59845451
0.029541,349.93928,-1.270115
0.029546,174.25171,2.8248553
0.029546,187.87675,2.7499263
0.029546,173.03012,0.91088823
0.029551,218.8322,0.47573896
0.029558,168.38002,0.50590354
0.029559,209.52939,-0.39245012
0.029595,211.7503,-0.8505234
0.029603,131.71345,2.5696916
0.029616,331.6942,-0.67018256
0.029644,184.47038,-0.65722438
0.029649,314.21116,-0.1167432
0.029652,185.4329,0.40888069
0.029653,168.59436,2.5754942
0.02966,332.59384,-0.14139049
0.029663,221.41633,-1.7186268
0.029667,349.56131,0.76586697
0.02967,212.73065,-2.2148688
0.02968,321.91519,-1.1021868
0.029687,41.542574,-0.44878567
0.029704,325.2379,0.24278141
0.029705,214.26732,-2.8609421
0.029708,214.48097,-2.6926611
0.029709,350.91143,1.2263274
0.029711,172.8194,0.22314416
0.029711,51.558579,-1.0782993
0.029712,314.2064,-0.2377698
0.029719,211.69443,-1.478292
0.029723,218.48822,-0.30116819
0.029724,333.07037,0.54556943
0.029738,198.74584,-2.7319998
0.029741,198.54046,0.92166637
0.029742,349.87325,1.0162168
0.029754,221.23533,-2.6113517
0.029768,217.99756,1.5814036
0.029775,349.56529,0.26117946
0.02978,168.49817,-0.76498128
0.029781,146.69939,2.7817424
0.029783,209.20129,0.6228272
0.029784,218.23403,1.8957363
0.029792,148.58493,-0.31146803
0.029794,349.85821,1.1452893
0.029794,323.38104,1.1654688
0.029795,313.2814,-0.40225547
0.029807,229.85688,-0.90524061
0.029816,224.72612,1.9909116
0.029817,51.423435,-1.0275931
0.029818,198.53427,0.93740212
0.029828,170.86638,2.8693708
0.029841,34.748532,0.32999096
0.029845,46.398697,1.242624
0.029858,170.60608,1.1894803
0.029861,208.68607,0.11509863
0.029864,313.6351,0.04197235
0.029869,187.27877,1.1540083
0.029884,184.91362,-0.75082782
0.02989,349.95987,1.0695644
0.029894,324.71415,-0.81464663
0.029895,236.07372,1.4755924
0.029897,208.68558,0.11839871
0.029899,131.16137,2.410983
