z,ra,dec
  0.099337,222.92087,0.04038412
  0.257865,180.11866,-0.10530745
  0.263398,221.36781,-0.12988686
  0.302234,9.6968573,0.57210519
  0.473491,206.06613,0.28723874
  0.006382,22.160654,-0.6752479
  0.008909,42.219416,-0.35106701
  0.021366,151.79943,0.80904455
  0.021926,149.44816,4.5208258
  0.043434,349.32808,-0.49562456
  0.073887,175.13301,0.1105543
  0.213197,21.592991,-0.19400698
  0.319588,187.0129,-0.72775626
  0.324520,48.592281,0.50235226
  0.367235,236.00386,0.20625941
  0.422209,158.52801,5.4912081
  0.127592,14.34057,-0.59933586
  0.218930,5.7690764,-0.6113503
  0.012591,203.56503,-0.28818294
  0.017208,18.631776,-0.06745884
  0.020421,180.94629,-0.33659179
  0.023083,188.55481,-2.3589014
  0.276002,34.435253,-0.71297387
  0.399704,176.48821,-2.4777577
  0.433734,184.39027,-0.76333299
  0.526662,197.16621,-2.1990325
  0.023791,353.18585,-0.97991198
  0.135502,160.25609,5.5421311
  0.436193,166.41518,4.2467462
  0.003533,177.88897,-2.3727772
  0.053285,214.69357,-0.08348645
  0.134873,33.256015,0.78579716
  0.018059,173.21797,5.7273432
  0.023320,207.02083,7.3923047
  0.033394,233.06546,9.4655504
  0.033437,239.38573,3.9793961
  0.035178,234.40771,9.3148632
  0.036375,214.26707,8.968596
  0.041691,228.4616,4.6225711
  0.042010,162.69668,6.0985184
  0.042479,230.38151,7.7405091
  0.043016,150.46066,5.3437433
  0.043166,30.430807,-1.0697996
  0.043244,44.168494,-0.93728155
  0.043287,232.2254,7.5912264
  0.043552,346.6947,-0.3224016
  0.044369,229.13187,7.7437638
  0.044533,42.923266,-7.2525158
  0.044798,18.73999,0.43080368
  0.045339,225.67507,6.0284156
  0.045361,18.78638,0.57601003
  0.045650,155.72641,3.0510495
  0.045718,129.72932,8.740847
  0.046023,179.28516,-3.2329941
  0.046070,154.84357,2.7426136
  0.046879,179.56603,7.1576408
  0.047265,190.77711,-0.43792219
  0.047310,190.9904,1.7271901
  0.047436,199.50737,1.7361636
  0.047639,199.67907,-0.17889562
  0.047900,167.77808,7.5832933
  0.048563,39.812583,0.47847746
  0.048704,157.92746,9.0805355
  0.049099,170.07416,4.3203623
  0.049889,346.09985,-1.1724021
  0.049927,169.87264,1.6196076
  0.050211,222.62886,9.4973811
  0.050410,140.29345,2.2012339
  0.050981,205.6306,7.3732592
