z,ra,dec,bestObjID
-0.004716133,227.44393,-2.3198165,1237655498137993893
-0.002638465,194.79546,-2.0643616,1237650371025305978
-0.001732165,137.82914,-0.64184933,1237650795142644333
-0.0005832401,164.15998,-2.6884529,1237650804273054128
-0.0004130295,239.55811,-0.13091378,1237648673993392198
-0.0002529347,222.71502,-2.4066585,1237655498135896288
-0.0002338847,246.64235,-0.013968877,1237648673996473880
-0.0002263776,232.06675,1.2464959,1237651735779738137
-0.0001647923,201.10208,2.4978828,1237651754019520648
-0.0001481129,219.05588,0.3674032,1237648721784733895
-0.0001351913,229.52199,1.0589296,1237655468062540177
-0.0001213535,220.03701,0.61342241,1237648705130004522
-0.0001201441,234.79816,-1.6547728,1237655498678075481
-0.000105742,236.42087,-0.080106794,1237648721255464972
-7.714456E-05,226.07477,-1.8999892,1237655498674274322
-5.395853E-05,90.887667,-0.44972106,1237646586103924417
-4.907035E-05,150.51666,1.2951695,1237651752923693439
-4.466696E-05,214.54819,-2.158163,1237655692473794594
-4.053266E-05,233.92223,2.2789311,1237651737391137205
-3.127245E-05,136.19228,2.5025124,0
-1.79535E-05,141.38862,-0.66839291,1237650795144151276
-1.595532E-05,90.786993,-0.77794628,1237658186780575743
-1.101651E-05,91.069304,-0.9219074,1237646585567118892
-1.047683E-05,226.62969,1.1360723,1237655468061295228
-6.043633E-06,233.99308,-1.9193669,1237655691945443359
-2.260834E-06,124.52357,-1.149262,1237650794599940538
3.545492E-06,135.33985,0.80732152,1237648722284904601
5.128335E-06,159.19193,-0.61985614,1237648720684777904
1.385699E-05,216.95021,-1.0093636,1237648720173138257
2.366452E-05,151.57257,0.89246825,1237651752387281312
2.967576E-05,225.56133,2.0630306,1237655469134512264
3.131062E-05,233.93986,-1.9401253,1237655691945377904
3.621612E-05,90.845104,-0.82445415,1237646379930419437
4.165488E-05,90.73597,-0.76044267,1237658186780574697
4.679292E-05,196.33688,-1.6939734,1237650371562831998
4.902283E-05,90.95167,-0.28937476,1237658187317577341
5.356112E-05,223.64017,-1.8849328,1237655692477727313
5.586907E-05,159.09265,-0.74867043,1237654669202686630
5.743242E-05,162.5014,-0.21774681,1237674649921061003
6.722835E-05,243.85497,0.65564029,1237655551279038505
7.179407E-05,126.7292,1.6742277,1237653665248642034
8.005935E-05,121.05623,0.29299503,1237648721741808942
8.253651E-05,144.86356,1.2064266,1237651752921202734
8.677352E-05,217.90561,-0.90933508,1237648720173597302
8.748195E-05,91.394019,-0.6530404,1237663332152116221
9.238222E-05,161.4242,1.2518525,1237648722833244176
9.700003E-05,159.30754,-0.59480233,1237648720684777832
0.0001051141,186.55142,1.4418039,1237651752402551370
0.0001053933,229.8486,-1.1349217,1237648702986780822
0.0001314344,184.60388,0.39705765,1237648721769594978
0.0001744188,157.0967,0.93761093,1237654671349317967
0.000187253,209.8052,0.58113154,1237648705125482723
0.0002007778,143.3304,-0.83478287,1237650795145003257
0.000201851,159.89864,0.058011762,1237654670276821399
0.0002030213,147.86597,-0.22419649,1237651800696291460
0.0002075524,189.67154,-0.566216,1237648720698081325
0.0002304041,148.7554,-0.349918,1237654669735035042
0.000288065,231.02351,2.0113939,1237651736853021475
0.0004387964,136.13862,-1.1569867,1237650794604986877
0.0004425107,151.77215,-0.86464825,1237648720144629998
0.0004735873,125.29652,0.73978243,1237648722280514202
0.000519771,190.4158,-1.0594242,1237671765322956929
0.0005377207,229.30159,-0.32139422,1237648704060326404
0.0005725957,148.8009,-0.197767,1237648721217061194
0.001189477,178.41892,-0.098069268,1237648721230037112
0.001276005,219.24483,1.1138088,1237651735237296548
0.001966859,189.22897,1.6150584,1237651735224123614
0.002066239,190.61763,2.7235629,1237651736835326643
0.002337555,155.41209,0.89995328,1237654671348596962
0.002354831,159.85491,1.7185623,1237651735748149401
0.002516904,192.485,2.5100565,1237671762640175288
0.002611508,192.13402,-2.451773,1237671264958742828
0.002651133,190.66659,2.7545634,0
0.00271444,190.74762,2.6330483,0
0.00285163,193.90559,-1.3298584,1237650372098654237
0.002862453,193.67346,2.1044679,1237651753479438356
0.002915113,194.992,2.0492791,1237651753480028190
0.002955104,195.4722,2.4606068,1237651736300617974
0.003015136,195.66995,1.074139,1237648722848186575
0.00302509,190.70706,2.6876632,0
0.003041482,187.06652,1.8289136,1237651752939683977
0.003059661,194.43574,2.6917493,1237651736837029978
0.003061782,184.1612,-1.4518548,0
0.003138676,184.47837,0.43481687,1237648705114406969
0.003148311,174.5724,0.61339792,1237674651000045887
0.003176013,190.7126,2.6827648,0
0.003188187,193.52145,-0.10119913,1237648721236656415
0.003207612,195.16357,2.5007464,0
0.003218309,195.16533,2.5085297,0
0.003222728,171.80101,-0.99467952,1237648720153411631
0.0032404,190.61908,1.0976434,1237671267107733717
0.003251394,180.34297,2.1856534,1237651753473605780
0.003257629,193.71278,2.6541026,1237651754016309355
0.003313482,167.72626,1.0919902,1237648722835996836
0.003315986,193.36797,2.1731859,0
0.003318076,195.15985,2.5057646,1237651754016964676
0.003324246,161.55244,1.8132815,1237651735748870280
0.003327826,167.72778,1.0923703,0
0.003358721,202.05083,2.2784963,1237651736303501337
0.003399961,179.35476,2.1877615,1237651753473147017
0.003405312,215.55069,-1.8912338,1237655499206492537
0.003406421,163.91321,2.3957642,1237651754003267629
0.003428165,173.18356,2.4735732,1237651754007331080
0.003431296,193.36884,2.1669939,0
0.003456922,201.58937,2.0995965,1237651753482911769
0.003473162,190.69635,2.7321918,0
0.003489168,163.32768,2.6260309,0
0.003492487,202.4823,1.5440496,1237651735229956279
0.003524287,177.88725,-2.372798,1237650761852780558
0.003533093,178.15699,-2.4684419,1237650761852846176
0.003554552,189.82808,-0.53195024,1237648720698146893
0.003591096,188.21063,2.7973074,1237651736834277599
0.003623851,193.41589,1.5747076,1237651735225958680
0.003631095,174.15365,0.81687936,0
0.003644947,189.44371,-2.7816425,1237650761320956037
0.003679868,201.58222,2.1008636,1237651753482911768
0.003696653,190.6361,-1.3506446,1237671764785955070
0.003698266,194.50497,1.5758435,1237651735226417233
0.00370914,193.91204,-0.26490299,1237648704044794112
0.00375467,193.33846,1.269122,1237651752405565444
0.003755564,151.10472,2.558605,1237651754534568238
0.003767548,193.14062,-1.7302072,1237650371561455760
0.003847203,192.45923,2.8512807,1237671264961101849
0.00388914,148.39488,1.5901421,1237651753459646495
0.003912577,191.1199,0.46807726,1237671266570600509
0.003919408,190.3715,-0.71983187,1237671765323088222
0.003921918,195.24222,-0.024965815,1237648721237377119
0.003938613,193.65725,1.3259014,1237651752405696618
0.003970908,195.24442,-0.027537806,1237648721237377109
0.003974337,193.55247,0.80252202,1237648722310398017
0.004073363,189.95947,1.6726155,0
0.004080323,146.19262,-0.68840099,1237650795146248407
0.004097955,180.91721,2.6411838,1237651754010738712
0.004120854,194.93807,-0.87130073,1237648720163504429
0.004145569,199.42994,-1.0010418,1237648720165470265
0.004146007,225.51512,1.8405696,1237651736313725063
0.004151508,189.59047,1.2020999,1237648722845565086
0.004163395,195.24188,-0.037832319,0
0.004174867,225.51461,1.8412875,1237651736313725062
0.004176705,226.35706,2.0997555,1237651736850989098
0.004192309,226.64596,2.0051063,1237655469134970995
0.00422883,151.32325,1.6410094,1237653664185712831
0.004230922,192.66233,1.4645169,1237671264423641136
0.004243138,190.82985,1.9772888,0
0.00426427,196.13287,-2.9881759,1237650369952153707
0.004287666,199.44263,-1.0376046,1237648720165535836
0.004300138,153.97924,2.68574,0
0.0043142,226.47175,2.0078507,1237655469134905978
0.004329287,182.8644,2.9261942,1237651754548461592
0.004336047,178.77045,1.7197911,1237671126979379364
0.004338777,148.42033,1.579639,0
0.004395496,190.58857,2.0666243,1237671267108192327
0.004402257,193.80272,0.11666026,1237648704581664772
0.00440928,137.33401,1.6142986,1237674461487759737
0.004427546,182.76554,2.0060509,1237651735758176535
0.004430032,182.86375,2.9252701,1237651754548461593
0.004455351,181.90135,2.6953884,0
0.004475516,225.31628,1.7734783,1237651736313659889
0.004476327,181.36108,-0.28227192,1237674649929318518
0.004479527,181.90339,2.6923038,1237651754011131989
0.004486798,180.08377,-1.106491,0
0.004492924,225.0017,1.8913206,1237651736313528355
0.004522607,225.00058,1.8909036,0
0.004547787,224.99618,1.8899046,0
0.004553961,183.82893,2.9272799,1237651754548855011
0.004573757,181.33292,-0.48019545,1237648720694476862
0.004584101,190.83718,1.9813301,0
0.004585617,208.22692,-1.11463,1237648702977343535
0.004586123,168.52185,2.1986521,1237654029790347601
0.004603982,195.25306,-1.9762058,1237650762397253702
0.004619197,178.19797,-0.66879376,1237674649391005774
0.004622472,190.97321,2.6330881,1237671764787724389
0.004649952,179.30156,-2.6864619,1237650370481619144
0.004662245,215.86298,1.726289,1237651735772659775
0.004694134,191.1433,1.2753031,1237671266570993942
0.004755149,193.22164,-0.82259414,1237648703507660888
0.004852788,212.90526,-1.1406661,0
0.004871002,187.01332,2.9137695,1237651736833753260
0.004871866,221.12875,1.5227535,0
0.004881246,229.02488,2.6919224,1237655470209761614
0.00489449,195.26429,-1.9535837,1237650762397253727
0.004907412,176.75302,-0.29424581,1237671140407246923
0.004916235,181.08446,-1.5302453,1237650762927898762
0.004920802,195.2653,-1.9534123,1237650762397253726
0.004930567,195.26398,-1.9543696,1237650762397253739
0.004936437,221.12828,1.5220114,1237651735774953673
0.004941233,180.09621,-1.0977154,0
0.004989051,180.29287,-1.2961962,0
0.004994017,187.01527,2.9099634,1237651736833753266
0.005018893,242.43318,-0.11512294,1237648673994637807
0.005032492,226.64274,1.5590967,1237655468598165525
0.00505075,188.11647,0.39066679,1237648721771167815
0.005064235,180.10953,-1.1021667,0
0.005065136,221.23385,1.9448743,0
0.005087507,188.19419,1.5689717,1237651735223664920
0.005091568,190.41317,1.8379655,1237671765324202275
0.005091838,236.60035,2.8440203,1237651822181548482
0.005092537,225.1142,1.6233859,1237655468597444940
0.005093563,222.74941,2.337889,1237651736849416508
0.005094,226.36569,2.105117,0
0.005095138,218.18812,2.9149439,1237651737384255596
0.005095313,212.90746,-1.1561632,1237648702979375194
0.005102077,190.61562,0.048208922,1237648704580223169
0.00512548,227.05148,1.4999438,1237655468598297057
0.005139465,177.04433,-1.9891875,1237650762389258386
0.005144823,217.15767,0.55314394,1237648705128759433
0.005148056,225.11147,1.6237305,0
0.005150354,179.79287,-2.5909129,1237650370481815937
0.005157668,212.55378,-2.5758883,0
0.005162542,213.72561,-2.1397059,1237655494910345243
0.005175699,217.39419,-0.01827286,1237648721247076619
0.005179126,188.19211,1.5688404,1237651735223664916
0.005189899,221.10187,1.679772,1237651753491431477
0.005192863,188.11549,0.3855222,0
0.005195208,212.90774,-1.159075,0
0.005208587,173.92928,1.8902999,1237654029255835952
0.005209877,224.67038,2.3398477,1237651736850268476
0.005210581,219.76647,2.9470833,1237651821100466212
0.005219562,172.99076,-2.9235891,0
0.005221072,187.25896,2.7232049,1237651736833884395
0.005223232,214.26749,-1.5056371,1237655499742839230
0.005224899,212.9066,-1.1620429,1237648702979375199
0.005231713,227.7435,1.4377753,1237655468598624334
0.005234256,225.95965,1.1269509,1237655468060967358
0.005234832,218.9588,2.6054867,1237651754564256067
0.005235914,226.36874,2.1072097,1237651736850989112
0.005270182,225.98428,0.42961035,1237648705132625938
0.005278524,188.53333,2.6530629,0
0.005285603,228.9285,1.4557678,1237655468599148799
0.005287491,226.89243,1.1202942,1237655468061360433
0.005289246,225.9819,0.43213741,1237648705132625937
0.005294307,174.75473,1.3365816,1237651752397439044
0.005298289,190.01199,-1.0507696,1237648702969348436
0.00530278,218.18741,2.9132706,0
0.00531105,162.53709,1.2649414,1237654028713984261
0.005312151,191.38147,-0.54001546,1237648720698867725
0.005315727,189.76032,0.84973103,1237648705653637245
0.005328223,191.13822,-2.3190267,1237671764248690782
0.005344185,219.76903,2.9500893,1237651821100466213
0.005347809,161.23336,0.74261784,1237648722296242267
0.005348514,220.69149,2.1238416,1237651754028105974
0.005359566,218.18657,2.9121912,1237651737384255602
0.005367113,185.1153,1.46971,1237651735222354083
0.005379031,220.24403,2.1839949,1237651754027909350
0.005380706,218.12119,0.29289008,0
